Id,Authors,Article Title,Journal Title,Journal Abbreviation,MedlinePgn,Volume,Date,PMID,Book Accession,DOI,Abstract,Publication Type,Query,Topic,Impact Factor > 8,Impact Factor Number
11,"PA. Pérez-Mancera, AR. Young and M. Narita, ",Inside and out: the activities of senescence in cancer.,Nature reviews. Cancer ,Nat Rev Cancer,547-58,14(8) ,(Aug. 2014). ,25030953,,DOI 10.1038/nrc3773.,"The core aspect of the senescent phenotype is a stable state of cell cycle arrest. However, this is a disguise that conceals a highly active metabolic cell state with diverse functionality. Both the cell-autonomous and the non-cell-autonomous activities of senescent cells create spatiotemporally dynamic and context-dependent tissue reactions. For example, the senescence-associated secretory phenotype (SASP) provokes not only tumour-suppressive but also tumour-promoting responses. Senescence is now increasingly considered to be an integrated and widespread component that is potentially important for tumour development, tumour suppression and the response to therapy.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,69.504
12,"KM. Ardeshna, W. Qian, P. Smith, N. Braganca, L. Lowry, P. Patrick, J. Warden, L. Stevens, CF. Pocock, F. Miall, D. Cunningham, J. Davies, A. Jack, R. Stephens, J. Walewski, B. Ferhanoglu, K. Bradstock and DC. Linch, ","Rituximab versus a watch-and-wait approach in patients with advanced-stage, asymptomatic, non-bulky follicular lymphoma: an open-label randomised phase 3 trial.",The Lancet. Oncology ,Lancet Oncol,424-35,15(4) ,(Apr. 2014). ,24602760,,DOI 10.1016/S1470-2045(14)70027-0.,"Patients with advanced-stage, low-tumour-burden follicular lymphoma have conventionally undergone watchful waiting until disease progression. We assessed whether rituximab use could delay the need for chemotherapy or radiotherapy compared with watchful waiting and the effect of this strategy on quality of life (QoL).","|Clinical Trial, Phase III|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,202.731
13,"I. Spasić, J. Livsey, JA. Keane and G. Nenadić, ",Text mining of cancer-related information: review of current status and future directions.,International journal of medical informatics ,Int J Med Inform,605-23,83(9) ,(Sep. 2014). ,25008281,,DOI 10.1016/j.ijmedinf.2014.06.009.,"This paper reviews the research literature on text mining (TM) with the aim to find out (1) which cancer domains have been the subject of TM efforts, (2) which knowledge resources can support TM of cancer-related information and (3) to what extent systems that rely on knowledge and computational methods can convert text data into useful clinical information. These questions were used to determine the current state of the art in this particular strand of TM and suggest future directions in TM development to support cancer research.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
14,"E. de Billy, PA. Clarke and P. Workman, ",HSF1 in Translation.,Cancer cell ,Cancer Cell,147-9,24(2) ,(Aug. 2013). ,23948296,,DOI 10.1016/j.ccr.2013.07.017.,"The master regulator of the classical cytoprotective ""heat shock"" response, heat shock factor 1 (HSF1), is increasingly implicated in cancer pathogenesis, but the mechanisms remain poorly understood. A recent study connects increased protein translation to activation of HSF1 in malignant cells and demonstrates the therapeutic benefit of targeting this link.","|Journal Article|Research Support, Non-U.S. Gov't|Comment","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,38.585
15,"J. Castle, H. Shaker, K. Morris, JD. Tugwood and CC. Kirwan, ",The significance of circulating tumour cells in breast cancer: a review.,"Breast (Edinburgh, Scotland) ",Breast,552-60,23(5) ,(Oct. 2014). ,25124235,,DOI 10.1016/j.breast.2014.07.002.,"Haematogenous spread of circulating tumour cells (CTCs) is the principle mechanism for development of metastases. Research into the enumeration and characterisation of CTCs, particularly in the last decade, has allowed the introduction of semi-automated CTC assessment in the clinical setting. In breast cancer, CTC enumeration is being used as a prognostic biomarker, a predictive biomarker of treatment response and is being assessed to guide treatment in both the early and metastatic setting. CTC characterisation has the potential to direct targeted therapies, such as HER2 therapies in HER2 negative primary breast tumour patients. However, CTC assessment has considerable challenges. Capture and identification of these very rare cells is currently largely dependent on a presumed homogeneity of phenotype. In addition, high throughput assays are lacking. The clinical significance of CTCs is incompletely understood. A large proportion of CTC positive patients have no evidence of metastases, raising the issue of either inconsequential tumour dormancy or non-viable CTCs. CTCs may have additional clinical sequelae such as promoting venous thrombosis. However CTCs provide a real-time liquid biopsy of the tumour and represent an exciting, minimally invasive method of assessing disease status and also a novel therapeutic target for malignancy.",|Journal Article|Review,"""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
16,"E. Barkauskaite, G. Jankevicius, AG. Ladurner, I. Ahel and G. Timinszky, ",The recognition and removal of cellular poly(ADP-ribose) signals.,The FEBS journal ,FEBS J,3491-507,280(15) ,(Aug. 2013). ,23711178,,DOI 10.1111/febs.12358.,"Poly(ADP-ribosyl)ation is involved in the regulation of a variety of cellular pathways, including, but not limited to, transcription, chromatin, DNA damage and other stress signalling. Similar to other tightly regulated post-translational modifications, poly(ADP-ribosyl)ation employs 'writers', 'readers' and 'erasers' to confer regulatory functions. The generation of poly(ADP-ribose) is catalyzed by poly(ADP-ribose) polymerase enzymes, which use NAD(+) as a cofactor to sequentially transfer ADP-ribose units generating long polymers, which, in turn, can affect protein function or serve as a recruitment platform for additional factors. Historically, research has focused on poly(ADP-ribose) generation pathways, with knowledge about PAR recognition and degradation lagging behind. Over recent years, several discoveries have significantly furthered our understanding of poly(ADP-ribose) recognition and, even more so, of poly(ADP-ribose) degradation. In this review, we summarize current knowledge about the protein modules recognizing poly(ADP-ribose) and discuss the newest developments on the complete reversibility of poly(ADP-ribosyl)ation.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
17,"C. Swanton, ",Cancer evolution: the final frontier of precision medicine?,Annals of oncology : official journal of the European Society for Medical Oncology ,Ann Oncol,549-551,25(3) ,(Mar. 2014). ,24567514,,DOI 10.1093/annonc/mdu005.,This editorial will review our current understanding of intratumour heterogeneity and cancer evolution and its potential impact on patient outcome and biomarker validation.,"|Editorial|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,51.769
18,"N. Chicooree, RD. Unwin and JR. Griffiths, ",The application of targeted mass spectrometry-based strategies to the detection and localization of post-translational modifications.,Mass spectrometry reviews ,Mass Spectrom Rev,595-626,34(6) ,(2015). ,24737647,,DOI 10.1002/mas.21421.,"This review describes some of the more interesting and imaginative ways in which mass spectrometry has been utilized to study a number of important post-translational modifications over the past two decades; from circa 1990 to 2013. A diverse range of modifications is covered, including citrullination, sulfation, hydroxylation and sumoylation. A summary of the biological role of each modification described, along with some brief mechanistic detail, is also included. Emphasis has been placed on strategies specifically aimed at detecting target modifications, as opposed to more serendipitous modification discovery approaches, which rely upon straightforward product ion scanning methods. The authors have intentionally excluded from this review both phosphorylation and glycosylation since these major modifications have been extensively reviewed elsewhere.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,9.011
19,"WJ. Howat and BA. Wilson, ",Tissue fixation and the effect of molecular fixatives on downstream staining procedures.,"Methods (San Diego, Calif.) ",Methods,9-Dec,70(1) ,(Nov. 2014). ,24561827,,DOI 10.1016/j.ymeth.2014.01.022.,"It is impossible to underplay the importance of fixation in histopathology. Whether the scientist is interested in the extraction of information on lipids, proteins, RNA or DNA, fixation is critical to this extraction. This review aims to give a brief overview of the current ""state of play"" in fixation and focus on the effect fixation, and particularly the effect of the newer brand of ""molecular fixatives"" have on morphology, histochemistry, immunohistochemistry and RNA/DNA analysis. A methodology incorporating the creation of a fixation tissue microarray for the study of the effect of fixation on histochemistry is detailed.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
20,"RA. Burrell and C. Swanton, ",Tumour heterogeneity and the evolution of polyclonal drug resistance.,Molecular oncology ,Mol Oncol,1095-111,8(6) ,(Sep. 2014). ,25087573,,DOI 10.1016/j.molonc.2014.06.005.,"Cancer drug resistance is a major problem, with the majority of patients with metastatic disease ultimately developing multidrug resistance and succumbing to their disease. Our understanding of molecular events underpinning treatment failure has been enhanced by new genomic technologies and pre-clinical studies. Intratumour genetic heterogeneity (ITH) is a prominent contributor to therapeutic failure, and it is becoming increasingly apparent that individual tumours may achieve resistance via multiple routes simultaneously - termed polyclonal resistance. Efforts to target single resistance mechanisms to overcome therapeutic failure may therefore yield only limited success. Clinical studies with sequential analysis of tumour material are needed to enhance our understanding of inter-clonal functional relationships and tumour evolution during therapy, and to improve drug development strategies in cancer medicine.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
21,"CH. Topham and SS. Taylor, ",Mitosis and apoptosis: how is the balance set?,Current opinion in cell biology ,Curr Opin Cell Biol,780-5,25(6) ,(Dec. 2013). ,23890995,,DOI 10.1016/j.ceb.2013.07.003.,"Anti-mitotic agents are used extensively during cancer chemotherapy. These agents target microtubules and thus block mitotic progression by activating the spindle assembly checkpoint. Following a prolonged mitotic arrest, cells either die in mitosis via apoptosis, or exit mitosis without dividing and survive, a process known as slippage. What dictates the balance between these two fates is unclear, but recent advances highlight the importance of the pro-survival Bcl2 family, with Mcl1 degradation emerging as a key determinant of mitotic cell fate. Here we review these advances, with a view towards identifying how the balance between apoptosis and slippage can be tipped in favour of death. This in turn may open up new opportunities to sensitize cancer cells to anti-mitotic agents.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,8.386
23,"S. Balasubramanian, ",Chemical biology on the genome.,Bioorganic & medicinal chemistry ,Bioorg Med Chem,4356-70,22(16) ,(Aug. 2014). ,24957879,,DOI 10.1016/j.bmc.2014.05.016.,"In this article I discuss studies towards understanding the structure and function of DNA in the context of genomes from the perspective of a chemist. The first area I describe concerns the studies that led to the invention and subsequent development of a method for sequencing DNA on a genome scale at high speed and low cost, now known as Solexa/Illumina sequencing. The second theme will feature the four-stranded DNA structure known as a G-quadruplex with a focus on its fundamental properties, its presence in cellular genomic DNA and the prospects for targeting such a structure in cels with small molecules. The final topic for discussion is naturally occurring chemically modified DNA bases with an emphasis on chemistry for decoding (or sequencing) such modifications in genomic DNA. The genome is a fruitful topic to be further elucidated by the creation and application of chemical approaches.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,25.832
24,"AR. Young, M. Narita and M. Narita, ",Cell senescence as both a dynamic and a static phenotype.,"Methods in molecular biology (Clifton, N.J.) ",Methods Mol Biol,13-Jan,965,(2013). ,23296648,,DOI 10.1007/978-1-62703-239-1_1.,"It has been 50 years since cellular senescence was first described in human diploid fibroblasts (HDFs), yet its mechanism as well as its physiological and clinical implications are still not fully appreciated. Recent progress suggests that cellular senescence is a collective phenotype, composed of complex networks of effector programs. The balance and quality within the effector network varies depending on the cell type, the nature of the stress as well as the context. Therefore, understanding each of these effectors in the context of the whole network will be necessary in order to fully understand senescence as a whole. Furthermore, searching for new effector programs of senescence will help to define this heterogeneous and complex phenotype according to cellular contexts.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
25,"M. Garofalo and CM. Croce, ",Role of microRNAs in maintaining cancer stem cells.,Advanced drug delivery reviews ,Adv Drug Deliv Rev,53-61,81,(Jan. 2015). ,25446141,,DOI 10.1016/j.addr.2014.11.014.,"Increasing evidence sustains that the establishment and maintenance of many, if not all, human cancers are due to cancer stem cells (CSCs), tumor cells with stem cell properties, such as the capacity to self-renew or generate progenitor and differentiated cells. CSCs seem to play a major role in tumor metastasis and drug resistance, but albeit the potential clinical importance, their regulation at the molecular level is not clear. Recent studies have highlighted several miRNAs to be differentially expressed in normal and cancer stem cells and established their role in targeting genes and pathways supporting cancer stemness properties. This review focuses on the last advances on the role of microRNAs in the regulation of stem cell properties and cancer stem cells in different tumors.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,17.873
26,"EM. Weick and EA. Miska, ",piRNAs: from biogenesis to function.,"Development (Cambridge, England) ",Development,3458-71,141(18) ,(Sep. 2014). ,25183868,,DOI 10.1242/dev.094037.,"Distinguishing self from non-self plays a crucial role in safeguarding the germlines of metazoa from mobile DNA elements. Since their discovery less than a decade ago, Piwi-interacting RNAs (piRNAs) have been shown to repress transposable elements in the germline and, hence, have been at the forefront of research aimed at understanding the mechanisms that maintain germline integrity. More recently, roles for piRNAs in gene regulation have emerged. In this Review, we highlight recent advances made in understanding piRNA function, highlighting the divergent nature of piRNA biogenesis in different organisms, and discussing the mechanisms of piRNA action during transcriptional regulation and in transgenerational epigenetic inheritance.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
